url,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,status
http://www.crestonwood.com/router.php,37,19,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,4,4,3,3,3,11,11,6,5.75,7.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,63,5414,0,0,1,-1,legitimate
http://shadetreetechnology.com/V4/validation/a111aedc8ae390eabcfa130e041a10a4,77,23,1,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.22077922077922077,0.0,0,0,0,0,0,1,0,0,0,0,0,4,4,2,19,2,32,19,32,15.75,19.0,14.666666666666666,0,0,0,0,0,0,9,0.5555555555555556,0.4444444444444444,0.0,0,0.0,0.0,0.0,0.0,0,0,42.857142857142854,0,0,0,0,0,0,0,0,0,1,1,0,0,107,6831,0,0,1,-1,phishing
http://www.shadetreetechnology.com/V4/validation/ba4b8bddd7958ecb8772c836c2969531,81,27,1,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0.25925925925925924,0.0,0,0,0,0,0,2,0,0,0,0,0,5,8,2,3,2,32,19,32,13.2,11.0,14.666666666666666,0,0,0,0,0,0,9,0.5555555555555556,0.4444444444444444,0.0,0,0.0,0.0,0.0,0.0,0,0,42.857142857142854,0,0,0,0,0,0,0,0,0,1,1,0,0,107,6831,0,0,1,-1,phishing
http://vamoaestudiarmedicina.blogspot.com/,42,34,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,1,0,0,0,2,0,8,8,0,21,21,0,14.5,14.5,0,0,1,0,0,0,0,29,0.3793103448275862,0.6206896551724138,0.0,3,0.0,0.0,0.0,0.0,0,1,12.5,0,0.0,100.0,0,0,0,0,0,0,0,1,1,0,392,8374,0,0,1,-1,legitimate
https://www.astrologyonline.eu/Astro_MemoNew/Profilo.asp,56,22,0,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,6,3,3,3,3,15,15,7,6.666666666666667,9.0,5.5,0,0,0,0,0,0,16,1.0,0.0,0.0,0,0.0,0,0.0,0,0,0,100.0,0,100.0,0.0,0,0,0,0,0,0,0,1,1,0,0,-2,0,0,1,-1,legitimate
https://technofizi.net/top-best-mp3-downloader-app-for-android-free-music-download/,83,14,0,1,9,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.012048192771084338,0.0,0,0,0,0,0,1,0,0,0,0,0,11,2,3,10,3,10,10,10,5.454545454545454,10.0,5.0,0,0,0,0,0,0,175,0.9885714285714285,0.011428571428571429,0.0,0,0.0,0.0,0.0,0.0,0,0,100.0,0,97.82608695652173,2.1739130434782608,0,0,0,0,0,0,0,1,1,0,340,2582,0,0,1,-1,legitimate
https://www.missfiga.com/,25,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,2,4,3,3,0,8,8,0,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,170,3117,0,0,1,-1,legitimate
http://wave.progressfilm.co.uk/time3/?logon=myposte,51,23,0,3,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.0196078431372549,0.0,0,0,0,0,0,3,0,0,0,1,0,5,1,4,4,5,12,12,7,6.6,8.0,5.666666666666667,0,0,0,0,0,0,40,0.875,0.125,0.0,1,0.0,0.0,0.0,0.4,0,1,92.5925925925926,0,0,0,0,0,0,0,0,0,0,1,0,0,142,-2,0,0,1,-1,phishing
https://www.chiefarchitect.com/,31,22,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,1,0,0,0,2,3,3,3,0,14,14,0,8.5,8.5,0,0,0,0,0,0,0,112,0.9910714285714286,0.008928571428571428,0.0,0,0.0,0.0,0.0,0.0,0,0,87.5,0,100.0,0.0,0,0,0,0,0,0,0,1,1,0,1990,9379,0,0,1,-1,legitimate
http://www.2345daohang.com/,27,19,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.14814814814814814,0.21052631578947367,0,0,0,0,0,2,0,0,0,2,0,2,3,3,3,0,11,11,0,7.0,7.0,0,0,0,0,0,0,0,2,1.0,0.0,0.0,0,0.0,0,0.0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,183,0,0,1,-1,legitimate
